"Id","CorrelationId","CommandText","Parameters","DurationMs","Timestamp"
"f305611b-d84f-4a88-af80-6e4f28a9ec3a","35167de2e2b84e098c8c6d903a37e210","SELECT count(*)::int
FROM ""ReminderSchedulers"" AS r
WHERE r.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (r.""IsDeleted"") AND NOT (r.""IsActive"") AND r.""UserId"" = @_userInfoToken_Id AND NOT (r.""IsRead"")","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@_userInfoToken_Id=a29de04b-8668-4510-8107-13b7d5869736;","12","2026-04-12 17:37:17.552123"
"13941555-b45f-4d30-9d41-b574d690eeae","a7909bebf35d48dead10cc93c6afd7fc","SELECT s1.""Id"" AS ""SalesOrderId"", s1.""OrderNumber"" AS ""SalesOrderNumber"", s1.""DeliveryDate"" AS ""ExpectedShipmentDate"", (
    SELECT COALESCE(sum(CASE
        WHEN s2.""Status"" = 0 THEN s2.""Quantity""
        ELSE -s2.""Quantity""
    END), 0.0)
    FROM ""SalesOrderItems"" AS s2
    WHERE s1.""Id"" = s2.""SalesOrderId"") AS ""Quantity"", s1.""CustomerId"", c0.""CustomerName""
FROM (
    SELECT s.""Id"", s.""CustomerId"", s.""DeliveryDate"", s.""OrderNumber""
    FROM ""SalesOrders"" AS s
    WHERE s.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (s.""IsDeleted"") AND NOT (s.""IsSalesOrderRequest"") AND s.""DeliveryStatus"" = 1 AND s.""LocationId"" = ANY (@_userInfoToken_LocationIds) AND (
        SELECT COALESCE(sum(CASE
            WHEN s0.""Status"" = 0 THEN s0.""Quantity""
            ELSE -s0.""Quantity""
        END), 0.0)
        FROM ""SalesOrderItems"" AS s0
        WHERE s.""Id"" = s0.""SalesOrderId"") > 0.0
    ORDER BY s.""DeliveryDate"" DESC
    LIMIT @p
) AS s1
INNER JOIN (
    SELECT c.""Id"", c.""CustomerName""
    FROM ""Customers"" AS c
    WHERE c.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (c.""IsDeleted"")
) AS c0 ON s1.""CustomerId"" = c0.""Id""
ORDER BY s1.""DeliveryDate"" DESC","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@_userInfoToken_LocationIds=System.Collections.Generic.List`1[System.Guid];@p=10;","10","2026-04-12 17:53:33.586412"
"363109d8-dbd7-48ef-b795-013b03655269","028a0c880fa8488c98d7779471ece2db","SELECT s0.""Key"" AS ""Month"", COALESCE(sum(s0.""TotalAmount""), 0.0) AS ""Total""
FROM (
    SELECT s.""TotalAmount"", date_part('month', s.""SOCreatedDate"")::int AS ""Key""
    FROM ""SalesOrders"" AS s
    WHERE s.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (s.""IsDeleted"") AND date_part('year', s.""SOCreatedDate"")::int = @lastYear AND s.""LocationId"" = ANY (@locationIds) AND NOT (s.""IsSalesOrderRequest"")
) AS s0
GROUP BY s0.""Key""","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@lastYear=2025;@locationIds=System.Collections.Generic.List`1[System.Guid];","57","2026-04-12 17:53:33.901664"
"498717d8-893d-4eff-adb0-287e2a1a7369","90a6d601de74476b86d497ab70bceedb","SELECT p1.""Id"" AS ""PurchaseOrderId"", p1.""OrderNumber"" AS ""PurchaseOrderNumber"", p1.""DeliveryDate"" AS ""ExpectedDispatchDate"", s0.""SupplierName"", p1.""SupplierId"", (
    SELECT COALESCE(sum(CASE
        WHEN p2.""Status"" = 0 THEN p2.""Quantity""
        ELSE -p2.""Quantity""
    END), 0.0)
    FROM ""PurchaseOrderItems"" AS p2
    WHERE p1.""Id"" = p2.""PurchaseOrderId"") AS ""TotalQuantity""
FROM (
    SELECT p.""Id"", p.""DeliveryDate"", p.""OrderNumber"", p.""SupplierId""
    FROM ""PurchaseOrders"" AS p
    WHERE p.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (p.""IsDeleted"") AND NOT (p.""IsPurchaseOrderRequest"") AND p.""DeliveryStatus"" = 0 AND p.""LocationId"" = ANY (@_userInfoToken_LocationIds) AND (
        SELECT COALESCE(sum(CASE
            WHEN p0.""Status"" = 0 THEN p0.""Quantity""
            ELSE -p0.""Quantity""
        END), 0.0)
        FROM ""PurchaseOrderItems"" AS p0
        WHERE p.""Id"" = p0.""PurchaseOrderId"") > 0.0
    ORDER BY p.""DeliveryDate"" DESC
    LIMIT @p
) AS p1
INNER JOIN (
    SELECT s.""Id"", s.""SupplierName""
    FROM ""Suppliers"" AS s
    WHERE s.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (s.""IsDeleted"")
) AS s0 ON p1.""SupplierId"" = s0.""Id""
ORDER BY p1.""DeliveryDate"" DESC","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@_userInfoToken_LocationIds=System.Collections.Generic.List`1[System.Guid];@p=10;","14","2026-04-12 17:53:33.595527"
"4b8a343e-0ede-40da-98bb-1f246b330da2","599d991597ed422db03a784ebc621011","SELECT s0.""Key"" AS ""Month"", COALESCE(sum(s0.""TotalAmount""), 0.0) AS ""Total""
FROM (
    SELECT s.""TotalAmount"", date_part('month', s.""SOCreatedDate"")::int AS ""Key""
    FROM ""SalesOrders"" AS s
    WHERE s.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (s.""IsDeleted"") AND date_part('year', s.""SOCreatedDate"")::int = @currentYear AND s.""LocationId"" = ANY (@locationIds) AND NOT (s.""IsSalesOrderRequest"")
) AS s0
GROUP BY s0.""Key""","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@currentYear=2026;@locationIds=System.Collections.Generic.List`1[System.Guid];","6","2026-04-12 17:53:33.607282"
"538e45be-ea44-461b-b8f5-5db73d955905","599d991597ed422db03a784ebc621011","SELECT p0.""Key"" AS ""Month"", COALESCE(sum(p0.""TotalAmount""), 0.0) AS ""Total""
FROM (
    SELECT p.""TotalAmount"", date_part('month', p.""POCreatedDate"")::int AS ""Key""
    FROM ""PurchaseOrders"" AS p
    WHERE p.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (p.""IsDeleted"") AND date_part('year', p.""POCreatedDate"")::int = @lastYear AND p.""LocationId"" = ANY (@locationIds) AND NOT (p.""IsPurchaseOrderRequest"")
) AS p0
GROUP BY p0.""Key""","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@lastYear=2025;@locationIds=System.Collections.Generic.List`1[System.Guid];","1","2026-04-12 17:53:33.776719"
"ac0a3f5c-19db-4d8c-9a1a-3e3528f6fe2b","028a0c880fa8488c98d7779471ece2db","SELECT s0.""Key"" AS ""Month"", COALESCE(sum(s0.""TotalAmount""), 0.0) AS ""Total""
FROM (
    SELECT s.""TotalAmount"", date_part('month', s.""SOCreatedDate"")::int AS ""Key""
    FROM ""SalesOrders"" AS s
    WHERE s.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (s.""IsDeleted"") AND date_part('year', s.""SOCreatedDate"")::int = @currentYear AND s.""LocationId"" = ANY (@locationIds) AND NOT (s.""IsSalesOrderRequest"")
) AS s0
GROUP BY s0.""Key""","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@currentYear=2026;@locationIds=System.Collections.Generic.List`1[System.Guid];","4","2026-04-12 17:53:33.842729"
"cb13b478-476b-4968-8091-c8d247b37ffe","599d991597ed422db03a784ebc621011","SELECT p0.""Key"" AS ""Month"", COALESCE(sum(p0.""TotalAmount""), 0.0) AS ""Total""
FROM (
    SELECT p.""TotalAmount"", date_part('month', p.""POCreatedDate"")::int AS ""Key""
    FROM ""PurchaseOrders"" AS p
    WHERE p.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (p.""IsDeleted"") AND date_part('year', p.""POCreatedDate"")::int = @currentYear AND p.""LocationId"" = ANY (@locationIds) AND NOT (p.""IsPurchaseOrderRequest"")
) AS p0
GROUP BY p0.""Key""","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@currentYear=2026;@locationIds=System.Collections.Generic.List`1[System.Guid];","10","2026-04-12 17:53:33.72636"
"dcb966b7-120b-4c62-aaf7-9b08693a66e3","599d991597ed422db03a784ebc621011","SELECT s0.""Key"" AS ""Month"", COALESCE(sum(s0.""TotalAmount""), 0.0) AS ""Total""
FROM (
    SELECT s.""TotalAmount"", date_part('month', s.""SOCreatedDate"")::int AS ""Key""
    FROM ""SalesOrders"" AS s
    WHERE s.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (s.""IsDeleted"") AND date_part('year', s.""SOCreatedDate"")::int = @lastYear AND s.""LocationId"" = ANY (@locationIds) AND NOT (s.""IsSalesOrderRequest"")
) AS s0
GROUP BY s0.""Key""","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@lastYear=2025;@locationIds=System.Collections.Generic.List`1[System.Guid];","6","2026-04-12 17:53:33.650107"
"3a41908a-a497-4420-80b9-4a2f337f3edd","18026aa28f9b426192680939fc4ff24c","SELECT count(*)::int
FROM ""Customers"" AS c
WHERE c.""TenantId"" = @ef_filter__CurrentTenantId AND NOT (c.""IsDeleted"") AND (c.""SalesPersonId"" = @userId OR (c.""LocationId"" IS NOT NULL AND c.""LocationId"" = ANY (@allowedLocations)))","@ef_filter__CurrentTenantId=10000000-0000-0000-0000-000000000001;@userId=a29de04b-8668-4510-8107-13b7d5869736;@allowedLocations=System.Collections.Generic.List`1[System.Guid];","2","2026-04-12 17:55:59.370516"
